song_name;artist;cover_image;duration;genre;tempo;activity;mood;release_year
Bring The Pain;Method Man;https://i.scdn.co/image/ac25b9686ce6fcff1a064dc802dd3f495e3bc7f4;189760;4;2;2;3;1994
Broken;Seether;https://i.scdn.co/image/02e5024d7c3188d93ebcb21ff8939d22b784f8a6;258333;8;2;4;6;2004
Building Bridges - (Guest Vocals by Sheryl Crow and Vince Gill);Brooks & Dunn;https://i.scdn.co/image/52e7f2feb6e494e25e299f66d6b909499f395298;262867;3;2;3;3;2005
Building a Mystery;Sarah McLachlan;https://i.scdn.co/image/08b2d9976e2c4eaa2b97c1afa9d01fea4ebc9bbc;247307;2;3;3;3;1997
Bungle in the Jungle;Jethro Tull;https://i.scdn.co/image/0b9d2784b39335497dcd5feeb3a2744fc74d6012;217333;1;2;2;1;1976
Burning Heart;Vandenberg;https://i.scdn.co/image/889548d86343c93579fb09956658d44972b5f81b;250693;1;2;2;1;1982
But For The Grace Of God;Keith Urban;https://i.scdn.co/image/1e0e9ffc35c1304a8ba2abd161384fc22ed228be;224107;3;2;3;3;2007
Buzzin';Cisco Adler;https://i.scdn.co/image/491af94f7742a3c60db4121e2e53602eb41d59d6;212280;2;2;2;2;2008
C'mon N' Ride It (The Train);Quad City DJ's;https://i.scdn.co/image/21803837e21bf945d399a9f5f454a6af3f4bacf2;451440;2;1;1;4;1996
CUDDLE MY WRIST;Future;https://i.scdn.co/image/364a7bfe62c9437d0d907ec3164e71effa5127e6;181894;4;2;2;3;2018
California Day;Starland Vocal Band;https://i.scdn.co/image/68504de17726771038326c9d2ee1f9e42fd30092;215707;1;2;2;1;1976
California Nights;Sweet;https://i.scdn.co/image/459da4f343c93e490216a3de0f6c95c4a652338b;253800;1;2;2;1;1967
Call It What You Want;Taylor Swift;https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447;203507;2;1;1;4;2017
Can't Let Go;Anthony Hamilton;https://i.scdn.co/image/16ff6a2f400e9fe49eb9a2762328bad150ef12b6;232533;5;2;3;5;1991
Can't Stop Falling into Love;Cheap Trick;https://i.scdn.co/image/de6a059c3ff7946f8a5f81f258f2ea88adc605d6;229680;1;2;2;1;1990
Candy;Mandy Moore;https://i.scdn.co/image/e9fc2bc04c391c757f68d29d056d1033d279a1f6;234373;2;2;2;2;1986
Carry on Wayward Son;Kansas;https://i.scdn.co/image/fe9a6270d2c1e8b0a62945623da0c6a98f392b0a;323000;1;2;2;1;1976
Cars With The Boom;L'Trimm;https://i.scdn.co/image/fea3561846ad1d4f8916def35899e660e1bb6546;234373;2;2;2;2;1988
Celebrity;Brad Paisley;https://i.scdn.co/image/0a0f564cddcf01b0851e8bd233e11a88a5ba9c28;223400;3;2;3;3;2010
Centerfield;John Fogerty;https://i.scdn.co/image/5b78a5c488aa7673c0f66d6040d825ea71eda5d8;231347;1;1;1;1;2010
Chains of Love - 2009 Remastered Version;Erasure;https://i.scdn.co/image/76295cfe61df278a2ee92c633e3fc91f0c091608;218627;2;2;2;2;1988
Change;J. Cole;https://i.scdn.co/image/51ae308118bec4be617c5cfd2061d7ace6ca499b;331480;4;2;2;3;1982
Chattanooga Choo Choo;Harpers Bizarre;https://i.scdn.co/image/6796f877e8ed60afc9fa178fd79a448f2bb4b286;157400;2;2;2;2;1997
Cheap Sunglasses;ZZ Top;https://i.scdn.co/image/7d0b5593b19b9c43d60ba2f162b3aab9e5a2661d;288400;1;2;2;1;1979
Check;Young Thug;https://i.scdn.co/image/be91107808d72ca8b767d590204ec33e067e02e5;230693;4;2;2;3;2015
Children Of The Night;Richard Marx;https://i.scdn.co/image/8c5198b1b56a8724a88049275ddcff57e7d00957;284173;1;3;3;3;1997
Chop Suey!;System Of A Down;https://i.scdn.co/image/3b74b1b2557ec74868bea0dd5c99ed081d32b6f4;210240;8;2;4;6;2001
